Year,species,Sp,Allocated,Compensations,Allocated_plus_compensated,Transferedfrompreviousfishingyear,Annualcatchquota,Catchsubjecttoannualcatchquota,Status,Transformationofspecies,Newstatus,Transferabletonextfishingyear,Overfished,Unused,Recommended TAC,Ungutted Allocated,Gutted RTAC,%diff TAC RTAC,Conversion rate,Catch<TAC,Catch<TAC+PrY,Catch accounted for by previous year transfers,PrY%Catch,SpT%Catch,PrY+SpT%Catch,Sign SpT,SpT in CodEquivalent,Next year CR,Next year CR-CR,Case,PrY>SpT,%diff TACvsCatch,%diff RTACvsCatch,,
2002,14,Angler,1350,3,1353,0,1353,917,436,-328,108,95,7,19,,,,,2.05,TRUE,TRUE,0,0,-35.76881134,-35.76881134,Negative,-672.4,1.98,-0.07,1,TRUE,-32.37,,,
2003,14,Angler,1350,6,1356,95,1451,1236,215,-110,105,111,13,7,,,,,1.98,TRUE,TRUE,0,0,-8.899676375,-8.899676375,Negative,-217.8,1.68,-0.3,1,TRUE,-9.25,,,
2004,14,Angler,1800,15,1815,111,1926,1736,189,7,196,184,1,13,1500,2000,1350,25,1.68,TRUE,TRUE,0,0,0.403225806,0.403225806,Positive,11.76,1.59,-0.09,3,FALSE,-5.14,27.18,,
2005,14,Angler,1800,9,1809,184,1993,2210,-217,268,51,51,3,3,1500,2000,1350,25,1.59,FALSE,FALSE,184,8,12.12669683,20.45248869,Positive,426.12,1.6,0.01,4,FALSE,21.56,62.62,,
2006,14,Angler,2700,22,2722,51,2773,2578,195,66,261,259,1,3,2200,3000,1980,27,1.6,TRUE,TRUE,0,0,2.560124127,2.560124127,Positive,105.6,1.8,0.2,3,FALSE,-6.05,28.77,,
2007,14,Angler,2700,32,2732,259,2990,2442,549,-121,428,371,1,58,2200,3000,1980,27,1.8,TRUE,TRUE,0,0,-4.954954955,-4.954954955,Negative,-217.8,1.76,-0.04,1,TRUE,-11.65,21.37,,
2008,14,Angler,2250,39,2289,371,2660,2629,31,196,226,207,3,22,2200,2500,1980,12,1.76,FALSE,TRUE,340,13,7.4553062,20.38798022,Positive,344.96,1.34,-0.42,3,TRUE,12.93,30.21,,
2009,14,Angler,2700,57,2757,207,2963,3087,-124,283,160,175,16,1,2500,3000,2250,17,1.34,FALSE,FALSE,207,7,9.167476514,15.87301587,Positive,379.22,1.65,0.31,4,FALSE,9.7,33.81,,
2010,14,Angler,2250,346,2596,175,2771,2866,-95,201,106,106,1,1,2500,3200,1758,22,1.65,FALSE,FALSE,175,6,7.013258897,13.11933008,Positive,331.65,1.92,0.27,4,FALSE,-2.58,36.23,,
2011,14,Angler,2250,124,2374,106,2481,2197,283,-84,199,188,1,12,2500,3000,1875,17,1.92,TRUE,TRUE,0,0,-3.823395539,-3.823395539,Negative,-161.28,1.57,-0.35,1,TRUE,-12.05,9.9,,
2012,14,Angler,2223,753,2976,188,3165,2665,500,-284,217,188,1,30,2500,2850,1950,12,1.57,TRUE,TRUE,0,0,-10.65666041,-10.65666041,Negative,-445.88,1.74,0.17,1,TRUE,-28.53,-1.41,,
2013,14,Angler,1577,74,1651,188,1839,1710,128,-84,44,39,0,6,1500,1800,1314,17,1.74,FALSE,TRUE,59,3,-4.912280702,-1.461988304,Negative,-146.16,1.98,0.24,1,TRUE,-0.87,23.18,,
2014,14,Angler,1294,108,1402,39,1441,1260,181,-35,146,136,1,11,1500,1500,1294,0,1.98,TRUE,TRUE,0,0,-2.777777778,-2.777777778,Negative,-69.3,2.27,0.29,,TRUE,-16.56,-10.13,,
2015,14,Angler,852,59,911,136,1048,969,79,-11,67,60,0,8,1000,1000,852,0,2.27,FALSE,TRUE,58,6,-1.135190918,4.850361197,,-24.97,2.05,-0.22,,TRUE,-0.1,6.37,,
2016,14,Angler,852,56,908,60,969,819,149,-55,94,73,0,21,1000,1000,852,0,2.05,TRUE,TRUE,0,0,-6.715506716,-6.715506716,Negative,-113,2.17,0.12,,TRUE,-15.04,-9.8,,
2017,14,Angler,606,40,646,73,719,607,111,9,120,111,0,10,711,711,606,0,2.17,TRUE,TRUE,0,0,1.482701812,1.482701812,Positive,19.53,2.1,-0.07,,FALSE,-11.52,-6.04,,
2001,27,Cdab,5060,0,5060,700,5760,2111,3649,-3178,471,376,1,96,4000,5500,3680,27,0.5,TRUE,TRUE,0,0,-150.5447655,-150.5447655,Negative,-1589,0.45,-0.05,1,TRUE,-58.28,-42.64,,
2002,27,Cdab,3680,1,3681,376,4057,3503,555,-326,229,212,1,18,4000,4000,3680,0,0.45,TRUE,TRUE,0,0,-9.306308878,-9.306308878,Negative,-146.7,0.47,0.02,1,TRUE,-4.86,-4.84,,
2003,27,Cdab,6440,1,6441,212,6653,3924,2729,-1719,1010,845,1,166,7000,7000,6440,0,0.47,TRUE,TRUE,0,0,-43.80733945,-43.80733945,Negative,-807.93,0.47,0,1,TRUE,-39.09,-39.08,,
