period,Sp,lease_exvessel,balance
2001,Haddock,,0.711689623
2002,Haddock,0.656608108,0.827343442
2003,Haddock,0.432703901,-0.070230089
2004,Haddock,0.291564769,0.88321834
2005,Haddock,0.346837829,0.917108207
2006,Haddock,0.337951256,0.258454274
2007,Haddock,0.243228681,-0.00628083
2008,Haddock,0.233478934,0.852896806
2009,Haddock,0.229450669,-0.448785948
2010,Haddock,0.543213969,-0.779767526
2011,Haddock,0.719451937,-0.606543606
2012,Haddock,0.794922841,0.739272201
2013,Haddock,0.985797455,0.801018615
2014,Haddock,0.891070971,0.896840815
2015,Haddock,0.751304831,0.894208897
2016,Haddock,0.644540104,0.942280463
2017,Haddock,0.651899928,0.893820438
2001,Saithe,,0.058994881
2002,Saithe,0.604363382,0.611875095
2003,Saithe,0.507850056,0.592781775
2004,Saithe,0.394135147,0.793890507
2005,Saithe,0.300518487,0.46779635
2006,Saithe,0.21431637,0.25907422
2007,Saithe,0.21412972,-0.70284376
2008,Saithe,0.138757167,-0.646471197
2009,Saithe,0.129432275,-0.715376435
2010,Saithe,0.391080618,0.183001163
2011,Saithe,0.531690538,0.438588412
2012,Saithe,0.530894743,-0.60822235
2013,Saithe,0.520248745,0.180674748
2014,Saithe,0.516747702,0.403681635
2015,Saithe,0.304321593,-0.645376475
2016,Saithe,0.15022029,-0.862220613
2017,Saithe,0.167335876,-0.838428643
2001,Redfish,,0.417308207
2002,Redfish,0.495257879,0.569094689
2003,Redfish,0.486128427,0.841379983
2004,Redfish,0.340740739,-0.379674936
2005,Redfish,0.207946526,0.115564059
2006,Redfish,0.229743009,0.425197772
2007,Redfish,0.264710929,0.786060644
2008,Redfish,0.196034856,-0.237258028
2009,Redfish,0.179876186,0.982253681
2010,Redfish,0.466062391,0.968062601
2011,Redfish,0.562264634,0.880132349
2012,Redfish,0.577907652,0.981547541
2013,Redfish,0.725551261,0.813068087
2014,Redfish,0.675514398,0.194939006
2015,Redfish,0.45452877,0.895855015
2016,Redfish,0.370445052,0.933003756
2017,Redfish,0.31631005,0.943888233
2014,Blue_ling,0.331544458,-0.915419689
2015,Blue_ling,0.144280137,-0.987133645
2016,Blue_ling,0.092172465,-0.984183984
2017,Blue_ling,0.038004313,-0.97741163
2002,Tusk,0.402804194,-0.576016392
2003,Tusk,0.379993496,0.2159082
2004,Tusk,0.501248261,0.27067418
2005,Tusk,0.453674839,-0.096742616
2006,Tusk,0.426390027,0.825723371
2007,Tusk,0.38125818,0.963716432
2008,Tusk,0.31675952,0.764650518
2009,Tusk,0.31237419,0.661574923
2010,Tusk,0.492784594,0.850988726
2011,Tusk,0.537897615,0.281915363
2012,Tusk,0.472974694,-0.827652409
