species,value,year,type,Sp
angler,0.71,2002,lease_exvessel,Angler
angler,0.68,2003,lease_exvessel,Angler
angler,0.51,2004,lease_exvessel,Angler
angler,0.65,2005,lease_exvessel,Angler
angler,0.73,2006,lease_exvessel,Angler
angler,0.62,2007,lease_exvessel,Angler
angler,0.54,2008,lease_exvessel,Angler
angler,0.41,2009,lease_exvessel,Angler
angler,0.78,2010,lease_exvessel,Angler
angler,1,2011,lease_exvessel,Angler
angler,0.86,2012,lease_exvessel,Angler
angler,0.86,2013,lease_exvessel,Angler
angler,0.81,2014,lease_exvessel,Angler
angler,0.8,2015,lease_exvessel,Angler
angler,0.46,2016,lease_exvessel,Angler
angler,0.59,2017,lease_exvessel,Angler
common dab,0.7,2002,lease_exvessel,Cdab
common dab,0.47,2003,lease_exvessel,Cdab
common dab,0.21,2004,lease_exvessel,Cdab
common dab,0.22,2005,lease_exvessel,Cdab
common dab,0.25,2006,lease_exvessel,Cdab
common dab,0.21,2007,lease_exvessel,Cdab
common dab,0.23,2008,lease_exvessel,Cdab
common dab,0.29,2009,lease_exvessel,Cdab
common dab,0.94,2010,lease_exvessel,Cdab
common dab,0.72,2011,lease_exvessel,Cdab
common dab,0.73,2012,lease_exvessel,Cdab
common dab,0.47,2013,lease_exvessel,Cdab
common dab,0.39,2014,lease_exvessel,Cdab
common dab,0.35,2015,lease_exvessel,Cdab
common dab,0.41,2016,lease_exvessel,Cdab
common dab,0.45,2017,lease_exvessel,Cdab
Atlantic cod,1.48,2002,lease_exvessel,Cod
Atlantic cod,1.37,2003,lease_exvessel,Cod
Atlantic cod,1.22,2004,lease_exvessel,Cod
Atlantic cod,1.25,2005,lease_exvessel,Cod
Atlantic cod,1.25,2006,lease_exvessel,Cod
Atlantic cod,1.36,2007,lease_exvessel,Cod
Atlantic cod,1.49,2008,lease_exvessel,Cod
Atlantic cod,1.3,2009,lease_exvessel,Cod
Atlantic cod,1.43,2010,lease_exvessel,Cod
Atlantic cod,1.56,2011,lease_exvessel,Cod
Atlantic cod,1.6,2012,lease_exvessel,Cod
Atlantic cod,1.32,2013,lease_exvessel,Cod
Atlantic cod,1.28,2014,lease_exvessel,Cod
Atlantic cod,1.3,2015,lease_exvessel,Cod
Atlantic cod,1.26,2016,lease_exvessel,Cod
Atlantic cod,1.3,2017,lease_exvessel,Cod
Deep sea redfish,0.56,2011,lease_exvessel,Deep_redfish
Deep sea redfish,0.66,2012,lease_exvessel,Deep_redfish
Deep sea redfish,0.95,2013,lease_exvessel,Deep_redfish
Deep sea redfish,0.9,2014,lease_exvessel,Deep_redfish
Deep sea redfish,0.61,2015,lease_exvessel,Deep_redfish
Deep sea redfish,0.47,2016,lease_exvessel,Deep_redfish
Deep sea redfish,0.27,2017,lease_exvessel,Deep_redfish
haddock,1.04,2002,lease_exvessel,Haddock
haddock,0.69,2003,lease_exvessel,Haddock
haddock,0.46,2004,lease_exvessel,Haddock
haddock,0.55,2005,lease_exvessel,Haddock
haddock,0.54,2006,lease_exvessel,Haddock
haddock,0.39,2007,lease_exvessel,Haddock
haddock,0.37,2008,lease_exvessel,Haddock
haddock,0.36,2009,lease_exvessel,Haddock
haddock,0.86,2010,lease_exvessel,Haddock
haddock,1.14,2011,lease_exvessel,Haddock
haddock,1.26,2012,lease_exvessel,Haddock
haddock,1.56,2013,lease_exvessel,Haddock
haddock,1.41,2014,lease_exvessel,Haddock
haddock,1.19,2015,lease_exvessel,Haddock
haddock,1.02,2016,lease_exvessel,Haddock
haddock,1.03,2017,lease_exvessel,Haddock
Greenland halibut,0.77,2002,lease_exvessel,Halibut
Greenland halibut,0.53,2003,lease_exvessel,Halibut
Greenland halibut,0.24,2004,lease_exvessel,Halibut
Greenland halibut,0.17,2005,lease_exvessel,Halibut
Greenland halibut,0.26,2006,lease_exvessel,Halibut
Greenland halibut,0.24,2007,lease_exvessel,Halibut
Greenland halibut,0.21,2008,lease_exvessel,Halibut
Greenland halibut,0.15,2009,lease_exvessel,Halibut
Greenland halibut,0.56,2010,lease_exvessel,Halibut
Greenland halibut,0.78,2011,lease_exvessel,Halibut
Greenland halibut,0.7,2012,lease_exvessel,Halibut
Greenland halibut,0.78,2013,lease_exvessel,Halibut
Greenland halibut,0.85,2014,lease_exvessel,Halibut
Greenland halibut,0.49,2015,lease_exvessel,Halibut
Greenland halibut,0.39,2016,lease_exvessel,Halibut
Greenland halibut,0.41,2017,lease_exvessel,Halibut
ling,0.81,2002,lease_exvessel,Ling
ling,0.73,2003,lease_exvessel,Ling
ling,0.76,2004,lease_exvessel,Ling
ling,0.71,2005,lease_exvessel,Ling
ling,0.63,2006,lease_exvessel,Ling
ling,0.68,2007,lease_exvessel,Ling
ling,0.68,2008,lease_exvessel,Ling
ling,0.64,2009,lease_exvessel,Ling
ling,0.95,2010,lease_exvessel,Ling
ling,1.09,2011,lease_exvessel,Ling
ling,1.16,2012,lease_exvessel,Ling
ling,0.88,2013,lease_exvessel,Ling
ling,0.74,2014,lease_exvessel,Ling
ling,0.45,2015,lease_exvessel,Ling
ling,0.31,2016,lease_exvessel,Ling
ling,0.27,2017,lease_exvessel,Ling
long rough dab,0.71,2002,lease_exvessel,LRdab
long rough dab,0.44,2003,lease_exvessel,LRdab
long rough dab,0.23,2004,lease_exvessel,LRdab
long rough dab,0.22,2005,lease_exvessel,LRdab
long rough dab,0.23,2006,lease_exvessel,LRdab
long rough dab,0.25,2007,lease_exvessel,LRdab
long rough dab,0.28,2008,lease_exvessel,LRdab
long rough dab,0.22,2009,lease_exvessel,LRdab
long rough dab,0.74,2010,lease_exvessel,LRdab
long rough dab,0.86,2011,lease_exvessel,LRdab
long rough dab,0.58,2012,lease_exvessel,LRdab
long rough dab,0.48,2013,lease_exvessel,LRdab
long rough dab,0.39,2014,lease_exvessel,LRdab
lemon sole,0.47,2002,lease_exvessel,Lsole
lemon sole,0.37,2003,lease_exvessel,Lsole
lemon sole,0.37,2004,lease_exvessel,Lsole
lemon sole,0.65,2005,lease_exvessel,Lsole
lemon sole,0.78,2006,lease_exvessel,Lsole
lemon sole,0.63,2007,lease_exvessel,Lsole
lemon sole,0.57,2008,lease_exvessel,Lsole
lemon sole,0.57,2009,lease_exvessel,Lsole
lemon sole,0.64,2010,lease_exvessel,Lsole
lemon sole,0.58,2011,lease_exvessel,Lsole
lemon sole,0.79,2012,lease_exvessel,Lsole
lemon sole,0.74,2013,lease_exvessel,Lsole
lemon sole,0.78,2014,lease_exvessel,Lsole
lemon sole,0.64,2015,lease_exvessel,Lsole
lemon sole,0.55,2016,lease_exvessel,Lsole
lemon sole,0.67,2017,lease_exvessel,Lsole
European plaice,0.96,2002,lease_exvessel,Plaice
European plaice,0.98,2003,lease_exvessel,Plaice
European plaice,0.81,2004,lease_exvessel,Plaice
European plaice,0.94,2005,lease_exvessel,Plaice
European plaice,0.91,2006,lease_exvessel,Plaice
European plaice,0.85,2007,lease_exvessel,Plaice
European plaice,0.71,2008,lease_exvessel,Plaice
European plaice,0.57,2009,lease_exvessel,Plaice
European plaice,0.78,2010,lease_exvessel,Plaice
European plaice,0.85,2011,lease_exvessel,Plaice
European plaice,0.69,2012,lease_exvessel,Plaice
European plaice,0.56,2013,lease_exvessel,Plaice
European plaice,0.54,2014,lease_exvessel,Plaice
