timabil,species,M0,M1,M2,TAC,M0_predict,M0_resid,M1_predict,M1_resid,M2_predict,M2_resid,period,Sp
20002001,61,0.430739803,0.646338271,0.197453391,NA,NA,NA,NA,NA,NA,NA,2001,Deep_redfish
20012002,61,0.174644455,0.367021366,0.122285651,NA,NA,NA,NA,NA,NA,NA,2002,Deep_redfish
20022003,61,0.538343631,0.627309426,0.407560157,NA,NA,NA,NA,NA,NA,NA,2003,Deep_redfish
20032004,61,0.270845184,0.403525189,0.205725377,NA,NA,NA,NA,NA,NA,NA,2004,Deep_redfish
20042005,61,0.257040477,0.40327293,0.161057141,NA,NA,NA,NA,NA,NA,NA,2005,Deep_redfish
20052006,61,0.268267721,0.408815209,0.225376426,NA,NA,NA,NA,NA,NA,NA,2006,Deep_redfish
20062007,61,0.453829979,0.527254865,0.380624979,NA,NA,NA,NA,NA,NA,NA,2007,Deep_redfish
20072008,61,0.358164147,0.447816486,0.311147021,NA,NA,NA,NA,NA,NA,NA,2008,Deep_redfish
20082009,61,0.188960482,0.371853295,0.134463338,NA,NA,NA,NA,NA,NA,NA,2009,Deep_redfish
20092010,61,0.204970522,0.331464684,0.141984307,NA,NA,NA,NA,NA,NA,NA,2010,Deep_redfish
20102011,61,0.072461247,0.179970375,0.039400452,12565.196,0.28070081,-0.208239562,0.40763455,-0.227664175,0.185147656,-0.145747204,2011,Deep_redfish
20112012,61,0.028562663,0.126367621,0.014641275,12074.142,0.279263342,-0.250700679,0.406025806,-0.279658186,0.184022726,-0.169381451,2012,Deep_redfish
20122013,61,0.041607392,0.124351536,0.02616584,10004.902,0.273206034,-0.231598642,0.399246761,-0.274895225,0.17928241,-0.15311657,2013,Deep_redfish
20132014,61,0.085537014,0.224268314,0.02202194,10001.796,0.273196941,-0.187659927,0.399236586,-0.174968272,0.179275295,-0.157253355,2014,Deep_redfish
20142015,61,0.121002145,0.200935455,0.055109186,10041.682,0.2733137,-0.152311555,0.399367256,-0.198431801,0.179366668,-0.124257482,2015,Deep_redfish
20152016,61,0.106550871,0.273367845,0.083962698,10005.048,0.273206461,-0.16665559,0.39924724,-0.125879394,0.179282745,-0.095320047,2016,Deep_redfish
20162017,61,0.148169316,0.338014576,0.023656454,12926.29,0.281757844,-0.133588528,0.408817532,-0.070802955,0.185974868,-0.162318414,2017,Deep_redfish
20102011,60,0.076505368,0.264791397,0.054230968,NA,NA,NA,NA,NA,NA,NA,2011,small_redfish
20112012,60,0.014001022,0.135407996,NA,NA,NA,NA,NA,NA,NA,NA,2012,small_redfish
20122013,60,0,0.071316533,0,NA,NA,NA,NA,NA,NA,NA,2013,small_redfish
20002001,28,0.572403564,0.702265796,0.416825489,4600,0.257384206,0.315019358,0.381539741,0.320726055,0.166900598,0.249924891,2001,LRdab
20012002,28,0.595645255,0.725956914,0.428025983,4602,0.257390061,0.338255195,0.381546293,0.344410621,0.16690518,0.261120803,2002,LRdab
20022003,28,0.603198843,0.746545771,0.446182562,4603,0.257392988,0.345805855,0.381549569,0.364996202,0.166907471,0.279275091,2003,LRdab
20032004,28,0.468583656,0.621068321,0.183894086,4602,0.257390061,0.211193595,0.381546293,0.239522028,0.16690518,0.016988906,2004,LRdab
20042005,28,0.205401385,0.354099342,0.041708463,4600,0.257384206,-0.051982821,0.381539741,-0.027440399,0.166900598,-0.125192135,2005,LRdab
20052006,28,0.247301063,0.430102461,0.112345684,3220,0.253344517,-0.006043455,0.377018717,0.053083743,0.163739227,-0.051393543,2006,LRdab
20062007,28,0.001007851,0.030694916,0,1381,0.247961193,-0.246953342,0.370993962,-0.340299046,0.159526356,-0.159526356,2007,LRdab
20072008,28,0.007240252,0.023090891,0.00222523,921,0.24661463,-0.239374378,0.369486954,-0.346396063,0.158472566,-0.156247336,2008,LRdab
20082009,28,0.004205849,0.104608866,0.001997864,920,0.246611703,-0.242405854,0.369483678,-0.264874812,0.158470275,-0.156472411,2009,LRdab
20092010,28,0.033467051,0.429605649,0.022474019,922,0.246617557,-0.213150506,0.369490231,0.060115418,0.158474857,-0.136000838,2010,LRdab
20102011,28,0.023322511,0.275321806,0.010502132,184,0.244457202,-0.22113469,0.367072466,-0.09175066,0.156784211,-0.146282079,2011,LRdab
20112012,28,NA,0.01022718,NA,184,NA,NA,0.367072466,-0.356845286,NA,NA,2012,LRdab
20122013,28,NA,0.052074453,NA,178,NA,NA,0.367052809,-0.314978356,NA,NA,2013,LRdab
20132014,28,NA,0.002893382,NA,176,NA,NA,0.367046257,-0.364152875,NA,NA,2014,LRdab
20142015,28,NA,0.024538392,NA,NA,NA,NA,NA,NA,NA,NA,2015,LRdab
20152016,28,0,0,0,NA,NA,NA,NA,NA,NA,NA,2016,LRdab
20002001,27,0.52825277,0.664077656,0.329677072,5060,0.258730769,0.269522001,0.383046748,0.281030908,0.167954388,0.161722683,2001,Cdab
20012002,27,0.721288739,0.800748523,0.550643167,3681,0.254694007,0.466594732,0.378529001,0.422219522,0.164795308,0.385847859,2002,Cdab
20022003,27,0.598582503,0.731198462,0.415673424,6441,0.262773385,0.335809118,0.387571048,0.343627414,0.17111805,0.244555373,2003,Cdab
20032004,27,0.538957554,0.679723672,0.409143136,6441,0.262773385,0.276184169,0.387571048,0.292152624,0.17111805,0.238025085,2004,Cdab
